DHSID_EA,water_index
MM-2016-7#-00000388,5.0
MM-2016-7#-00000377,4.724137931034483
MM-2016-7#-00000302,4.166666666666667
MM-2016-7#-00000026,4.954545454545454
MM-2016-7#-00000374,3.7586206896551726
MM-2016-7#-00000436,4.758620689655173
MM-2016-7#-00000393,4.615384615384615
MM-2016-7#-00000054,3.962962962962963
MM-2016-7#-00000314,3.5
MM-2016-7#-00000287,3.966666666666667
MM-2016-7#-00000353,4.166666666666667
MM-2016-7#-00000133,4.666666666666667
MM-2016-7#-00000275,5.0
MM-2016-7#-00000167,4.214285714285714
MM-2016-7#-00000364,4.482758620689655
MM-2016-7#-00000263,3.928571428571429
MM-2016-7#-00000280,3.928571428571429
MM-2016-7#-00000332,3.896551724137931
MM-2016-7#-00000093,4.0
MM-2016-7#-00000244,4.0
MM-2016-7#-00000414,4.925925925925926
MM-2016-7#-00000040,3.3793103448275863
MM-2016-7#-00000257,4.384615384615385
MM-2016-7#-00000047,2.2
MM-2016-7#-00000264,3.96
MM-2016-7#-00000325,4.0
MM-2016-7#-00000290,4.142857142857143
MM-2016-7#-00000191,4.233333333333333
MM-2016-7#-00000120,4.8
MM-2016-7#-00000011,3.76
MM-2016-7#-00000039,1.8
MM-2016-7#-00000074,4.862068965517241
MM-2016-7#-00000131,2.4166666666666665
MM-2016-7#-00000090,4.0
MM-2016-7#-00000421,4.758620689655173
MM-2016-7#-00000419,1.5333333333333334
MM-2016-7#-00000360,4.103448275862069
MM-2016-7#-00000346,3.033333333333333
MM-2016-7#-00000270,5.0
MM-2016-7#-00000422,4.206896551724138
MM-2016-7#-00000119,4.703703703703703
MM-2016-7#-00000007,3.3448275862068964
MM-2016-7#-00000089,4.178571428571429
