DHSID_EA,water_index
MZ-2011-6#-00000043,3.44
MZ-2009-5#-00000161,4.190476190476191
MZ-2011-6#-00000253,4.76
MZ-2011-6#-00000053,4.75
MZ-2015-7#-00000211,4.666666666666667
MZ-2015-7#-00000070,1.125
MZ-2009-5#-00000111,4.789473684210527
MZ-2009-5#-00000073,2.833333333333333
MZ-2009-5#-00000241,3.6666666666666665
MZ-2011-6#-00000056,4.85
MZ-2011-6#-00000477,4.4
MZ-2015-7#-00000023,5.0
MZ-2011-6#-00000544,3.32
MZ-2011-6#-00000548,5.0
MZ-2009-5#-00000226,1.8421052631578947
MZ-2018-7Z-00000304,1.3214285714285714
MZ-2018-7Z-00001020,4.461538461538462
MZ-2009-5#-00000011,1.0
MZ-2011-6#-00000027,1.6
MZ-2011-6#-00000611,3.75
MZ-2011-6#-00000115,4.8
MZ-2009-5#-00000048,3.869565217391304
MZ-2018-7Z-00000817,4.928571428571429
MZ-2011-6#-00000291,4.75
MZ-2015-7#-00000229,4.625
MZ-2011-6#-00000529,4.6
MZ-2011-6#-00000344,4.24
MZ-2011-6#-00000368,3.52
MZ-2011-6#-00000543,4.8
MZ-2009-5#-00000186,3.5
MZ-2011-6#-00000488,4.9
MZ-2015-7#-00000177,4.791666666666667
MZ-2011-6#-00000244,2.96
MZ-2018-7Z-00000505,4.821428571428571
MZ-2011-6#-00000330,4.9
MZ-2015-7#-00000059,4.5
MZ-2011-6#-00000539,4.0
