DHSID_EA,water_index
NM-2013-6#-00000146,3.764705882352941
NM-2013-6#-00000251,2.8125
NM-2013-6#-00000497,4.75
NM-2013-6#-00000311,5.0
NM-2006-5#-00000384,5.0
NM-2000-4#-00000040,
NM-2013-6#-00000238,5.0
NM-2006-5#-00000074,2.631578947368421
NM-2000-4#-00000112,
NM-2013-6#-00000021,5.0
NM-2006-5#-00000135,4.666666666666667
NM-2013-6#-00000443,5.0
NM-2013-6#-00000153,5.0
NM-2013-6#-00000398,5.0
NM-2000-4#-00000160,
NM-2000-4#-00000237,
NM-2013-6#-00000542,2.8823529411764706
NM-2006-5#-00000069,3.875
NM-2000-4#-00000244,
NM-2006-5#-00000063,4.333333333333333
NM-2013-6#-00000292,4.066666666666666
NM-2013-6#-00000046,4.789473684210527
NM-2006-5#-00000197,5.0
NM-2006-5#-00000065,3.823529411764706
NM-2013-6#-00000157,4.933333333333334
NM-2006-5#-00000396,4.5
NM-2013-6#-00000381,5.0
NM-2006-5#-00000230,3.8461538461538463
NM-2006-5#-00000081,5.0
NM-2000-4#-00000235,
NM-2013-6#-00000271,5.0
NM-2013-6#-00000133,3.1666666666666665
NM-2000-4#-00000077,
NM-2006-5#-00000203,5.0
