DHSID_EA,asset_index,sanitation_index,water_index,women_edu
BF-2014-7#-00000043,-0.6919094158567121,1.5384615384615383,4.076923076923077,2.333333333333333
BF-2010-6#-00000185,1.3613460719414607,2.923076923076923,4.923076923076923,3.333333333333333
BF-2003-4#-00000214,,,,4.634146341463414
BF-2010-6#-00000012,1.36051785072178,3.269230769230769,5.0,5.090909090909091
BF-2010-6#-00000022,1.3269084326818767,3.0,4.923076923076923,4.166666666666667
BF-2010-6#-00000251,1.5975366747947009,3.28,5.0,7.387096774193548
BF-2014-7#-00000177,-0.9652881110986938,1.8461538461538465,3.0,1.1282051282051282
BF-2017-7Z-00000057,1.9214964639850287,4.0,4.807692307692308,7.114285714285714
BF-2003-4#-00000074,,,,0.3888888888888889
BF-2003-4#-00000038,,,,1.6551724137931034
BF-1999-3#-00000068,,,,0.0
BF-2010-6#-00000560,1.4455788249892727,3.0384615384615383,4.923076923076923,6.9523809523809526
BF-2017-7Z-00000047,1.5788627656074392,3.12,4.56,7.32258064516129
