DHSID_EA,water_index
NG-2003-4Z-00000332,
NG-2018-7Z-00001128,3.4
NG-2018-7Z-00001245,4.714285714285714
NG-2008-5#-00000791,3.5609756097560976
NG-2010-6#-00000165,1.84
NG-2013-6Z-00000034,4.923076923076923
NG-2010-6#-00000231,4.28
NG-2018-7Z-00000613,3.8620689655172415
NG-2010-6#-00000093,4.041666666666667
NG-2013-6Z-00000822,3.651162790697674
NG-2003-4Z-00000250,
NG-2015-7#-00000119,5.0
NG-2018-7Z-00001202,3.4444444444444446
NG-2018-7Z-00001378,3.2
NG-2013-6Z-00000783,3.825
NG-2008-5#-00000611,3.0
NG-2015-7#-00000013,3.0
NG-2018-7Z-00000528,3.933333333333333
NG-2003-4Z-00000054,
NG-2003-4Z-00000351,
NG-2013-6Z-00000575,3.2666666666666666
NG-2008-5#-00000814,3.3902439024390243
NG-2018-7Z-00000417,1.0
NG-2018-7Z-00000767,1.9655172413793105
NG-2018-7Z-00000702,4.0
NG-2003-4Z-00000313,
NG-2015-7#-00000019,4.666666666666667
NG-2008-5#-00000007,3.25
NG-2008-5#-00000671,1.064516129032258
NG-2013-6Z-00000400,4.555555555555555
NG-2013-6Z-00000173,1.3333333333333333
NG-2013-6Z-00000641,3.4444444444444446
NG-2018-7Z-00001399,2.4
NG-2018-7Z-00000355,4.0
NG-2008-5#-00000495,3.975609756097561
NG-2008-5#-00000514,3.8
NG-2013-6Z-00000865,4.866666666666666
NG-2018-7Z-00000736,2.2
NG-2003-4Z-00000210,
NG-2018-7Z-00000967,3.2
NG-2018-7Z-00000968,3.6666666666666665
NG-2003-4Z-00000326,
NG-2008-5#-00000504,4.951219512195122
NG-2015-7#-00000188,2.44
NG-2013-6Z-00000511,3.511111111111111
NG-2003-4Z-00000220,
NG-2018-7Z-00000986,3.571428571428572
NG-2018-7Z-00000345,3.3448275862068964
NG-2018-7Z-00001192,3.6
NG-2018-7Z-00000897,1.95
NG-2018-7Z-00000869,1.5333333333333334
NG-2013-6Z-00000336,3.090909090909091
NG-2013-6Z-00000357,4.0
NG-2018-7Z-00001275,3.7586206896551726
NG-2008-5#-00000043,3.0285714285714285
NG-2018-7Z-00000734,4.0
NG-2018-7Z-00001270,2.966666666666667
NG-2008-5#-00000823,4.829268292682927
NG-2018-7Z-00001025,1.4615384615384617
NG-2018-7Z-00001224,3.3
NG-2015-7#-00000243,3.9166666666666665
NG-2013-6Z-00000819,3.363636363636364
NG-2018-7Z-00001130,3.2758620689655173
NG-2008-5#-00000460,3.206896551724138
NG-2010-6#-00000101,4.583333333333333
NG-2013-6Z-00000608,3.55
NG-2013-6Z-00000786,3.930232558139535
NG-2003-4Z-00000299,
NG-2018-7Z-00001280,2.2333333333333334
NG-2008-5#-00000778,3.0
NG-2008-5#-00000299,3.769230769230769
NG-2008-5#-00000591,2.717948717948718
NG-2008-5#-00000097,3.842105263157895
NG-2003-4Z-00000272,
NG-2008-5#-00000483,4.525
NG-2018-7Z-00000059,3.1333333333333333
NG-2018-7Z-00000086,2.85
NG-2013-6Z-00000353,3.5681818181818183
