DHSID_EA,water_index
TJ-2017-7#-00000209,2.863636363636364
TJ-2017-7#-00000008,5.0
TJ-2017-7#-00000317,4.714285714285714
TJ-2017-7#-00000123,4.0
TJ-2012-6#-00000259,3.3125
TJ-2017-7#-00000241,1.1428571428571428
TJ-2017-7#-00000144,4.7727272727272725
TJ-2012-6#-00000349,3.947368421052632
TJ-2017-7#-00000077,4.5
TJ-2012-6#-00000115,3.85
TJ-2017-7#-00000199,4.2727272727272725
TJ-2017-7#-00000349,2.894736842105264
TJ-2012-6#-00000258,3.85
TJ-2012-6#-00000105,4.8
TJ-2012-6#-00000116,4.8
TJ-2012-6#-00000121,3.8
TJ-2017-7#-00000098,4.809523809523809
TJ-2012-6#-00000332,1.947368421052632
TJ-2012-6#-00000292,4.428571428571429
TJ-2012-6#-00000078,5.0
TJ-2012-6#-00000286,4.142857142857143
TJ-2017-7#-00000359,1.1363636363636365
TJ-2017-7#-00000105,3.909090909090909
TJ-2017-7#-00000017,4.904761904761905
TJ-2012-6#-00000168,3.75
